[Name]
User Points

[Data]
"Time [s]","Monitor Point: Fxx [N]","Monitor Point: Fyy [N]"
4.76645976e-01,7.65104346e+03,1.92585938e+02
4.80491847e-01,7.66177393e+03,2.29183594e+02
4.84340221e-01,7.67093555e+03,2.66773438e+02
4.88191098e-01,7.67844434e+03,3.05296875e+02
4.92044598e-01,7.68428076e+03,3.44781250e+02
4.95900750e-01,7.68857080e+03,3.85025391e+02
4.99759614e-01,7.69140039e+03,4.26066406e+02
5.03621221e-01,7.69282715e+03,4.67955078e+02
5.07485628e-01,7.69281006e+03,5.10570313e+02
5.11352897e-01,7.69136719e+03,5.53978516e+02
5.15223026e-01,7.68857275e+03,5.98193359e+02
5.19096017e-01,7.68452051e+03,6.43158203e+02
5.22971869e-01,7.67931152e+03,6.88812500e+02
5.26850700e-01,7.67301318e+03,7.34986328e+02
5.30732393e-01,7.66559521e+03,7.81626953e+02
5.34617066e-01,7.65707178e+03,8.28708984e+02
5.38504660e-01,7.64742041e+03,8.76216797e+02
5.42395175e-01,7.63687793e+03,9.23978516e+02
5.46288610e-01,7.62556836e+03,9.71806641e+02
5.50184965e-01,7.61366553e+03,1.01955078e+03
5.54084301e-01,7.60127197e+03,1.06716016e+03
5.57986557e-01,7.58857715e+03,1.11450195e+03
5.61891794e-01,7.57577441e+03,1.16153320e+03
5.65799892e-01,7.56286719e+03,1.20833398e+03
5.69710851e-01,7.54982715e+03,1.25505469e+03
5.73624730e-01,7.53665967e+03,1.30180859e+03
5.77541471e-01,7.52345264e+03,1.34850000e+03
5.81461072e-01,7.51019531e+03,1.39483008e+03
5.85383475e-01,7.49689160e+03,1.44068945e+03
5.89308739e-01,7.48345605e+03,1.48583984e+03
5.93236804e-01,7.46978320e+03,1.53035547e+03
5.97167671e-01,7.45584814e+03,1.57418750e+03
6.01101398e-01,7.44168604e+03,1.61729297e+03
6.05037928e-01,7.42729102e+03,1.65959375e+03
6.08977258e-01,7.41263965e+03,1.70086719e+03
6.12919331e-01,7.39779199e+03,1.74093164e+03
6.16864264e-01,7.38272119e+03,1.77958398e+03
6.20811939e-01,7.36735840e+03,1.81662891e+03
6.24762416e-01,7.35160156e+03,1.85198633e+03
6.28715634e-01,7.33547803e+03,1.88554102e+03
6.32671595e-01,7.31907813e+03,1.91721484e+03
6.36630356e-01,7.30247168e+03,1.94701367e+03
6.40591860e-01,7.28576025e+03,1.97471094e+03
6.44556105e-01,7.26892676e+03,2.00025977e+03
6.48523033e-01,7.25200879e+03,2.02348828e+03
6.52492762e-01,7.23500684e+03,2.04410547e+03
6.56465173e-01,7.21785254e+03,2.06208984e+03
6.60440326e-01,7.20045703e+03,2.07741602e+03
6.64418221e-01,7.18279004e+03,2.08994531e+03
6.68398798e-01,7.16489355e+03,2.09952734e+03
6.72382116e-01,7.14683545e+03,2.10619141e+03
6.76368117e-01,7.12866211e+03,2.10971484e+03
6.80356860e-01,7.11037109e+03,2.11005273e+03
6.84348285e-01,7.09192578e+03,2.10700781e+03
6.88342392e-01,7.07332910e+03,2.10049219e+03
6.92339182e-01,7.05463867e+03,2.09045898e+03
6.96338713e-01,7.03600684e+03,2.07687695e+03
7.00340867e-01,7.01759375e+03,2.05974414e+03
7.04345703e-01,6.99936133e+03,2.03900977e+03
7.08353162e-01,6.98116699e+03,2.01472070e+03
7.12363303e-01,6.96281494e+03,1.98666406e+03
7.16376066e-01,6.94427148e+03,1.95476758e+03
7.20391393e-01,6.92548730e+03,1.91878711e+03
7.24409401e-01,6.90648828e+03,1.87857422e+03
7.28429914e-01,6.88727881e+03,1.83402148e+03
7.32453048e-01,6.86796045e+03,1.78514844e+03
7.36478746e-01,6.84854785e+03,1.73196289e+03
7.40506947e-01,6.82904688e+03,1.67444727e+03
7.44537711e-01,6.80944238e+03,1.61264258e+03
7.48570979e-01,6.78977930e+03,1.54650781e+03
7.52606690e-01,6.76998340e+03,1.47600391e+03
7.56644905e-01,6.75009473e+03,1.40111328e+03
7.60685563e-01,6.73007715e+03,1.32176758e+03
7.64728606e-01,6.70999463e+03,1.23801172e+03
7.68774152e-01,6.68986523e+03,1.14999023e+03
7.72822022e-01,6.66971533e+03,1.05788477e+03
7.76872277e-01,6.64962598e+03,9.61679688e+02
7.80924916e-01,6.62962402e+03,8.61498047e+02
7.84979820e-01,6.60968457e+03,7.57460938e+02
7.89037108e-01,6.58987061e+03,6.49617188e+02
7.93096602e-01,6.57020898e+03,5.38181641e+02
7.97158420e-01,6.55065039e+03,4.23199219e+02
8.01222444e-01,6.53120215e+03,3.04763672e+02
8.05288732e-01,6.51189648e+03,1.83068359e+02
8.09357166e-01,6.49268457e+03,5.81738281e+01
8.13427746e-01,6.47367578e+03,-6.96328125e+01
8.17500412e-01,6.45490869e+03,-2.00210938e+02
8.21575224e-01,6.43642090e+03,-3.33429688e+02
8.25652063e-01,6.41832031e+03,-4.69044922e+02
8.29730928e-01,6.40071191e+03,-6.06767578e+02
8.33811820e-01,6.38373145e+03,-7.46443359e+02
8.37894619e-01,6.36734180e+03,-8.87958984e+02
8.41979325e-01,6.35149805e+03,-1.03110156e+03
8.46065879e-01,6.33609961e+03,-1.17561328e+03
8.50154221e-01,6.32095068e+03,-1.32120313e+03
8.54244411e-01,6.30607666e+03,-1.46749023e+03
8.58336329e-01,6.29156006e+03,-1.61429883e+03
8.62429917e-01,6.27740234e+03,-1.76147266e+03
8.66525114e-01,6.26376660e+03,-1.90869922e+03
8.70621920e-01,6.25069287e+03,-2.05565039e+03
8.74720216e-01,6.23810693e+03,-2.20194727e+03
8.78820062e-01,6.22597021e+03,-2.34737695e+03
8.82921278e-01,6.21426953e+03,-2.49157422e+03
8.87023866e-01,6.20311719e+03,-2.63416797e+03
8.91127706e-01,6.19272363e+03,-2.77481836e+03
8.95232797e-01,6.18320557e+03,-2.91335938e+03
8.99339020e-01,6.17443652e+03,-3.04967188e+03
9.03446376e-01,6.16633594e+03,-3.18345508e+03
9.07554686e-01,6.15883301e+03,-3.31438672e+03
9.11664009e-01,6.15192139e+03,-3.44202539e+03
9.15774286e-01,6.14550195e+03,-3.56602930e+03
9.19885337e-01,6.13947266e+03,-3.68594922e+03
9.23997223e-01,6.13369531e+03,-3.80150000e+03
9.28109825e-01,6.12814648e+03,-3.91243164e+03
9.32223082e-01,6.12281543e+03,-4.01845117e+03
9.36336935e-01,6.11779297e+03,-4.11934766e+03
9.40451384e-01,6.11322852e+03,-4.21472461e+03
9.44566309e-01,6.10937939e+03,-4.30418359e+03
9.48681653e-01,6.10623291e+03,-4.38746680e+03
9.52797413e-01,6.10377588e+03,-4.46425195e+03
9.56913412e-01,6.10193750e+03,-4.53432813e+03
9.61029470e-01,6.10058252e+03,-4.59757422e+03
9.65145886e-01,6.09941943e+03,-4.65366406e+03
9.69262302e-01,6.09834424e+03,-4.70239453e+03
9.73378778e-01,6.09742578e+03,-4.74365430e+03
9.77495193e-01,6.09667090e+03,-4.77708008e+03
9.81611609e-01,6.09607520e+03,-4.80236523e+03
9.85728025e-01,6.09563330e+03,-4.81950781e+03
9.89844441e-01,6.09526953e+03,-4.82853906e+03
9.93960857e-01,6.09491846e+03,-4.82937500e+03
9.98077273e-01,6.09461670e+03,-4.82199414e+03
1.00219369e+00,6.09439795e+03,-4.80643750e+03
1.00630963e+00,6.09414502e+03,-4.78256055e+03
1.01042557e+00,6.09376172e+03,-4.75034961e+03
1.01454091e+00,6.09323340e+03,-4.70972266e+03
1.01865637e+00,6.09242871e+03,-4.66059570e+03
1.02277112e+00,6.09144141e+03,-4.60288281e+03
1.02688575e+00,6.09026514e+03,-4.53678125e+03
1.03099978e+00,6.08896875e+03,-4.46241211e+03
1.03511381e+00,6.08759863e+03,-4.37992383e+03
1.03922713e+00,6.08614697e+03,-4.28942383e+03
1.04334033e+00,6.08458691e+03,-4.19112109e+03
1.04745281e+00,6.08281641e+03,-4.08514648e+03
1.05156529e+00,6.08083447e+03,-3.97159375e+03
1.05567694e+00,6.07871289e+03,-3.85058789e+03
1.05978823e+00,6.07402441e+03,-3.58695898e+03
1.06389892e+00,6.07148877e+03,-3.49958398e+03
1.06800950e+00,6.06504688e+03,-3.38221094e+03
1.07211959e+00,6.06015625e+03,-3.27122852e+03
1.07622910e+00,6.05968164e+03,-3.14556250e+03
1.08033812e+00,6.06192236e+03,-2.99785547e+03
1.08444667e+00,6.06385352e+03,-2.83061523e+03
1.08855474e+00,6.06342871e+03,-2.65041406e+03
1.09266245e+00,6.06041211e+03,-2.46388281e+03
1.09676969e+00,6.05591602e+03,-2.27526367e+03
1.10087657e+00,6.05150098e+03,-2.08635156e+03
1.10498297e+00,6.04828223e+03,-1.89722461e+03
1.10908890e+00,6.04669043e+03,-1.70703516e+03
1.11319435e+00,6.04655176e+03,-1.51493164e+03
1.11729932e+00,6.04734570e+03,-1.32051758e+03
1.12140381e+00,6.04856787e+03,-1.12379492e+03
1.12550771e+00,6.05002441e+03,-9.25265625e+02
1.12961125e+00,6.05168457e+03,-7.25476563e+02
1.13371408e+00,6.05363721e+03,-5.25300781e+02
1.13781643e+00,6.05609814e+03,-3.25570313e+02
1.14191830e+00,6.05921777e+03,-1.27039063e+02
1.14601946e+00,6.06312695e+03,6.96328125e+01
1.15012014e+00,6.06801758e+03,2.64023438e+02
1.15422010e+00,6.07384863e+03,4.55988281e+02
1.15831947e+00,6.08063672e+03,6.44902344e+02
1.16241813e+00,6.08836670e+03,8.30363281e+02
1.16651618e+00,6.09699268e+03,1.01183197e+03
1.17061353e+00,6.10644629e+03,1.18871289e+03
1.17471004e+00,6.11661523e+03,1.36018555e+03
1.17880595e+00,6.12747559e+03,1.52585156e+03
1.18290091e+00,6.13892773e+03,1.68527539e+03
1.18699527e+00,6.15092188e+03,1.83803711e+03
1.19108868e+00,6.16350488e+03,1.98360938e+03
1.19518125e+00,6.17668701e+03,2.12174219e+03
1.19927299e+00,6.19037305e+03,2.25203320e+03
1.20336390e+00,6.20443994e+03,2.37383594e+03
1.20745385e+00,6.21866309e+03,2.48675977e+03
1.21154284e+00,6.23293359e+03,2.59044531e+03
1.21563089e+00,6.24712305e+03,2.68463672e+03
1.21971786e+00,6.26121973e+03,2.76894336e+03
1.22380400e+00,6.27516406e+03,2.84325195e+03
1.22788906e+00,6.28879297e+03,2.90741992e+03
1.23197305e+00,6.30192627e+03,2.96124023e+03
1.23605609e+00,6.31451318e+03,3.00445898e+03
1.24013805e+00,6.32660254e+03,3.03709375e+03
1.24421895e+00,6.33824365e+03,3.05908594e+03
1.24829888e+00,6.34930566e+03,3.07031055e+03
1.25237775e+00,6.35973291e+03,3.07089844e+03
1.25645554e+00,6.36937793e+03,3.06095117e+03
1.26053238e+00,6.37818359e+03,3.04041406e+03
1.26460803e+00,6.38616992e+03,3.00926172e+03
1.26868272e+00,6.39324658e+03,2.96758203e+03
1.27275646e+00,6.39945605e+03,2.91556250e+03
1.27682912e+00,6.40478027e+03,2.85346680e+03
1.28090072e+00,6.40928125e+03,2.78142383e+03
1.28497136e+00,6.41293555e+03,2.69975586e+03
1.28904104e+00,6.41583057e+03,2.60853516e+03
1.29310977e+00,6.41808691e+03,2.50832031e+03
1.29717755e+00,6.41981836e+03,2.39939063e+03
1.30124426e+00,6.42116699e+03,2.28217188e+03
1.30531013e+00,6.42212988e+03,2.15696289e+03
1.30937517e+00,6.42259180e+03,2.02424805e+03
1.31343925e+00,6.42250977e+03,1.88447852e+03
1.31750238e+00,6.42197656e+03,1.73816406e+03
1.32156479e+00,6.42116846e+03,1.58575781e+03
1.32562625e+00,6.42020459e+03,1.42781250e+03
1.32968700e+00,6.41936621e+03,1.26482813e+03
1.33374679e+00,6.41874072e+03,1.09743164e+03
1.33780599e+00,6.41825439e+03,9.26244141e+02
1.34186423e+00,6.41790918e+03,7.51843750e+02
1.34592175e+00,6.41784961e+03,5.74761719e+02
1.34997869e+00,6.41826758e+03,3.95642578e+02
